año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro
2013,1,antioquia,05,angostura,05038,882.8610445504246
2013,1,antioquia,05,barbosa,05079,931.3373954017386
2013,1,antioquia,05,bello,05088,937.8775132853907
2013,1,antioquia,05,belmira,05086,893.9458701815258
2013,1,antioquia,05,don matias,05237,854.0952948656811
2013,1,antioquia,05,entrerrios,05264,900.8681633151059
2013,1,antioquia,05,envigado,05266,824.3836715867159
2013,1,antioquia,05,guarne,05318,884.856428105286
2013,1,antioquia,05,la ceja,05376,897.2810787191397
2013,1,antioquia,05,la union,05400,878.9142205360006
2013,1,antioquia,05,medellin,05001,839.4736612441527
2013,1,antioquia,05,rionegro,05615,850.1264125287195
2013,1,antioquia,05,san jose de la montana,05658,875.7631354189732
2013,1,antioquia,05,san pedro,05664,890.8999136384774
2013,1,antioquia,05,santa rosa de osos,05686,868.9609428827339
2013,1,antioquia,05,sonson,05756,882.4782139854516
2013,1,antioquia,05,yarumal,05887,853.4106772616373
2013,1,atlantico,08,candelaria,08141,822.1051859099804
2013,1,atlantico,08,juan de acosta,08372,768.4852638793694
2013,1,atlantico,08,manati,08436,831.4034138422943
2013,1,atlantico,08,ponedera,08560,782.4634298476831
2013,1,atlantico,08,sabanalarga,08638,888.3631576119083
2013,1,bolivar,13,arjona,13052,896.871705917673
2013,1,bolivar,13,calamar,13140,789.6031124170204
2013,1,bolivar,13,el carmen de bolivar,13244,820.6629287598945
2013,1,bolivar,13,el guamo,13248,893.0275424479813
2013,1,bolivar,13,magangue,13430,809.5703362058503
2013,1,bolivar,13,mahates,13433,967.3372836426009
2013,1,bolivar,13,maria la baja,13442,905.4225257800991
2013,1,bolivar,13,san estanislao,13647,907.9032077478587
2013,1,bolivar,13,san juan nepomuceno,13657,940.9677334247949
2013,1,boyaca,15,belen,15087,825.1649194579392
2013,1,boyaca,15,chiquinquira,15176,878.7817570489836
2013,1,boyaca,15,duitama,15238,907.5237161327813
2013,1,boyaca,15,firavitoba,15272,834.254299114122
2013,1,boyaca,15,moniquira,15469,796.1900097943193
2013,1,boyaca,15,paipa,15516,820.7490140610699
2013,1,boyaca,15,raquira,15600,813.1940805777809
2013,1,boyaca,15,saboya,15632,919.1646430305974
2013,1,boyaca,15,san miguel de sema,15676,932.7216907413341
2013,1,boyaca,15,sogamoso,15759,878.1921399313628
2013,1,boyaca,15,sotaquira,15763,907.04474608862
2013,1,boyaca,15,tibasosa,15806,832.6151325794232
2013,1,boyaca,15,toca,15814,879.1490100282849
2013,1,boyaca,15,tunja,15001,863.1413831567206
2013,1,boyaca,15,ventaquemada,15861,819.162048033782
2013,1,caldas,17,manizales,17001,920.2153419276751
2013,1,caldas,17,salamina,17653,819.8035535535536
2013,1,caldas,17,villamaria,17873,914.5400925956282
2013,1,casanare,85,aguazul,85010,682.2534996534996
2013,1,casanare,85,monterrey,85162,704.2158067838278
2013,1,casanare,85,nunchia,85225,473.75360527400085
2013,1,casanare,85,tauramena,85410,804.9316087880935
2013,1,casanare,85,yopal,85001,730.5893096764574
2013,1,cauca,19,patia,19532,707.9050416054821
