AÑO,MES,PRECIO_PROMEDIO
2010,1,1979.2334482758622
2010,2,1951.7239285714284
2010,3,1908.991935483871
2010,4,1937.449
2010,5,1983.5932258064515
2010,6,1926.846
2010,7,1874.4112903225807
2010,8,1821.2006451612904
2010,9,1805.7723333333333
2010,10,1808.6070967741935
2010,11,1862.994
2010,12,1922.3312903225806
2011,1,1867.0767741935483
2011,2,1882.3714285714286
2011,3,1881.8148387096776
2011,4,1809.8339999999998
2011,5,1800.5087096774193
2011,6,1783.1593333333333
2011,7,1761.593870967742
2011,8,1785.56
2011,9,1833.3196666666665
2011,10,1907.6090322580644
2011,11,1919.475
2011,12,1933.3512903225806
2012,1,1853.282258064516
2012,2,1782.7548275862068
2012,3,1766.3316129032257
2012,4,1774.249
2012,5,1793.2767741935484
2012,6,1792.5466666666666
2012,7,1783.820322580645
2012,8,1805.5232258064516
2012,9,1802.7463333333333
2012,10,1804.4009677419356
2012,11,1821.0136666666667
2012,12,1792.4948387096772
2013,1,1769.6725806451611
2013,2,1790.5478571428573
2013,3,1813.7487096774194
2013,4,1830.2313333333334
2013,5,1847.9212903225805
2013,6,1909.8493333333333
2013,7,1901.5425806451613
2013,8,1902.1041935483872
2013,9,1919.5123333333333
2013,10,1885.1312903225805
2013,11,1921.7530000000002
2013,12,1932.956129032258
2014,1,1957.2870967741935
2014,2,2038.4925
2014,3,2019.7132258064516
2014,4,1938.3603333333333
2014,5,1915.3609677419356
2014,6,1887.0393333333334
2014,7,1857.6441935483872
2014,8,1898.1251612903225
2014,9,1973.7166666666667
2014,10,2048.5674193548384
2014,11,2128.683666666667
2014,12,2342.253548387097
2015,1,2397.2580645161293
2015,2,2420.6725
2015,3,2585.362258064516
2015,4,2505.248
2015,5,2437.5351612903223
2015,6,2562.4776666666667
2015,7,2732.035806451613
2015,8,3012.5874193548384
2015,9,3066.4080000000004
2015,10,2929.472258064516
2015,11,3001.376333333333
2015,12,3244.201612903226
2016,1,3270.1951612903226
2016,2,3354.956896551724
2016,3,3128.7890322580647
2016,4,2997.727
2016,5,2993.508387096774
2016,6,2992.8586666666665
2016,7,2960.999677419355
2016,8,2952.7667741935484
2016,9,2924.2653333333333
2016,10,2929.3887096774192
2016,11,3110.2586666666666
2016,12,3009.863870967742
2017,1,2941.3993548387098
2017,2,2879.5667857142857
2017,3,2942.286129032258
2017,4,2877.8216666666663
2017,5,2923.6129032258063
2017,6,2957.0983333333334
2017,7,3036.5838709677423
2017,8,2973.2048387096775
2017,9,2917.085
2017,10,2953.7558064516134
2017,11,3013.4666666666667
2017,12,2991.7619354838707
2018,1,2868.5722580645165
2018,2,2860.252857142857
2018,3,2847.9306451612906
2018,4,2766.2850000000003
2018,5,2861.825806451613
2018,6,2889.689
2018,7,2885.3219354838707
2018,8,2958.6667741935485
2018,9,3033.7679999999996
2018,10,3084.830967741935
2018,11,3194.0343333333335
2018,12,3218.5509677419354
2019,1,3165.188064516129
2019,2,3115.8385714285714
2019,3,3128.684193548387
2019,4,3155.765
2019,5,3304.4945161290325
2019,6,3260.517
2019,7,3206.6003225806453
2019,8,3410.7290322580648
2019,9,3399.4570000000003
2019,10,3433.311612903226
2019,11,3401.473
2019,12,3378.0506451612905
2020,1,3311.1893548387097
2020,2,3411.0527586206895
2020,3,3877.048387096774
2020,4,3977.3933333333334
2020,5,3858.191612903226
2020,6,3701.6043333333337
2020,7,3657.8667741935483
2020,8,3783.025806451613
2020,9,3750.2153333333335
2020,10,3833.7883870967744
2020,11,3685.6266666666666
2020,12,3466.1270967741934
2021,1,3491.3216129032257
2021,2,3554.5042857142857
2021,3,3612.7683870967744
2021,4,3650.776
2021,5,3735.6661290322577
2021,6,3685.0426666666667
2021,7,3829.418064516129
2021,8,3881.183548387097
2021,9,3821.5376666666666
2021,10,3773.3841935483874
2021,11,3902.901
2021,12,3963.1335483870967
2022,1,3999.6161290322584
2022,2,3935.835714285714
2022,3,3807.170967741936
2022,4,3792.9820000000004
2022,5,4019.07935483871
2022,6,3930.766666666667
2022,7,4367.8058064516135
2022,8,4322.4693548387095
2022,9,4433.651
2022,10,4711.830322580645
2022,11,4926.660666666667
2022,12,4788.49064516129
2023,1,4715.203870967742
2023,2,4803.1125
2023,3,4766.3058064516135
2023,4,4542.674333333333
2023,5,4540.089032258064
2023,6,4209.268
2023,7,4069.233548387097
2023,8,4070.7251612903224
2023,9,4004.5206666666663
2023,10,4222.433225806451
2023,11,4038.8046666666664
2023,12,3948.2067741935484
2024,1,3915.1987096774196
2024,2,3931.438620689655
2024,3,3899.341290322581
2024,4,3867.9753333333333
2024,5,3869.1006451612902
2024,6,4042.797
2024,7,4036.921935483871
2024,8,4065.546451612903
2024,9,4182.512333333333
2024,10,4249.47
2024,11,4408.652333333333
2024,12,4385.148709677419
2025,1,4307.567419354838
2025,2,4127.953928571429
2025,3,4137.684516129032
2025,4,4280.258
2025,5,4203.377096774194
2025,6,4113.485
2025,7,4040.8483870967743
2025,8,4047.4116129032254
2025,9,3922.212
2025,10,3877.8448387096773
2025,11,3786.1833333333334
2025,12,3782.1733333333336
